Date,Open_Stock_Price,High_Stock_Price,Low_Stock_Price,Close_Stock_Price,Stock_Volumn,Stock_Dividends,Stock_Splits,Open_Currency_Rate,High_Currency_Rate,Low_Currency_Rate,Close_Currency_Rate,Currency_Rate_Volumn,Currency_Rate_Dividends,Currency_Stock_Splits,Total_Sales(EUR_Million),EPS
2020-02-03,236.4743752332928,241.17071796827423,236.4743752332928,240.8023834228516,589807.0,0.0,0.0,1.108905553817749,1.108905553817749,1.104349970817566,1.1089794635772705,0.0,0.0,0.0,6726.972527472528,3.82
2020-02-04,239.23694858439976,243.28871326483548,238.40818875508413,242.27577209472656,623040.0,0.0,0.0,1.1062926054000854,1.1065618991851809,1.1033873558044434,1.1062926054000854,0.0,0.0,0.0,6711.874725274725,3.82
2020-02-05,244.02535933367287,247.1562451160197,239.14486338784923,246.60372924804688,686400.0,0.0,0.0,1.104472041130066,1.1048502922058103,1.0998317003250122,1.1047282218933103,0.0,0.0,0.0,6696.776923076923,3.82
2020-02-06,253.2338921984357,256.456869008234,246.6037572345711,249.2742462158203,659548.0,0.0,0.0,1.1000494956970217,1.1012852191925049,1.0965512990951538,1.100231051445007,0.0,0.0,0.0,6681.679120879121,3.82
2020-02-07,251.85260924597327,254.21612930153645,246.48097194451552,249.30492655436197,593663.3333333334,0.0,0.0,1.0981045961380005,1.0986994504928589,1.0946906805038452,1.0982975959777832,0.0,0.0,0.0,6666.581318681318,3.82
2020-02-08,250.47132629351086,251.97538959483896,246.3581866544599,249.33560689290366,527778.6666666666,0.0,0.0,1.0970265865325928,1.0978432099024455,1.0934470891952515,1.0971752405166626,0.0,0.0,0.0,6651.483516483517,3.82
2020-02-09,249.0900433410484,249.73464988814143,246.2354013644043,249.3662872314453,461894.0,0.0,0.0,1.0959485769271848,1.0969869693120322,1.0922034978866577,1.096052885055542,0.0,0.0,0.0,6636.385714285714,3.82
2020-02-10,250.1950718255086,251.7605006874355,249.2742214000958,251.3921661376953,414306.0,0.0,0.0,1.0948705673217771,1.0961307287216189,1.090959906578064,1.0949305295944214,0.0,0.0,0.0,6621.287912087912,3.82
2020-02-11,251.2080224804523,251.48429451077808,247.89298293357527,249.64259338378903,438842.0,0.0,0.0,1.091226577758789,1.0927003622055054,1.089348316192627,1.0913456678390503,0.0,0.0,0.0,6606.19010989011,3.82
2020-02-12,248.1692393322237,250.0109405517578,244.94626219803897,250.0109405517578,526605.0,0.0,0.0,1.0921800136566162,1.0924997329711914,1.0887079238891602,1.091941475868225,0.0,0.0,0.0,6591.092307692308,3.82
