Date,Close Stock Price,Close Currency Rate,Total_Sales_EUR_Million,EPS
2022-02-06,350.544403,1.144868,9158.620000,6.050000
2022-02-07,348.231659,1.145515,9161.345556,6.050000
2022-02-08,350.591553,1.144296,9164.071111,6.050000
2022-02-09,343.606201,1.142126,9166.796667,6.050000
2022-02-10,343.558960,1.142152,9169.522222,6.050000
2022-02-11,340.144928,1.141553,9172.247778,6.050000
2022-02-12,336.730896,1.139870,9174.973333,6.050000
2022-02-13,333.316864,1.138188,9177.698889,6.050000
2022-02-14,339.216705,1.136506,9180.424444,6.050000
2022-02-15,335.252014,1.130633,9183.150000,6.050000
2022-02-16,336.620789,1.135680,9185.875556,6.050000
2022-02-17,340.538300,1.137527,9188.601111,6.050000
2022-02-18,336.038686,1.136648,9191.326667,6.050000
2022-02-19,331.539073,1.135006,9194.052222,6.050000
2022-02-20,327.039459,1.133363,9196.777778,6.050000
2022-02-21,329.210602,1.131721,9199.503333,6.050000
2022-02-22,324.254730,1.130966,9202.228889,6.050000
2022-02-23,321.564392,1.132913,9204.954444,6.050000
2022-02-24,334.119232,1.130569,9207.680000,6.050000
2022-02-25,334.449626,1.119069,9210.405556,6.050000
2022-02-26,334.780019,1.118748,9213.131111,6.050000
2022-02-27,335.110413,1.118427,9215.856667,6.050000
2022-02-28,325.434692,1.118105,9218.582222,6.050000
2022-03-01,328.974579,1.121592,9221.307778,6.050000
2022-03-02,326.897827,1.113276,9224.033333,6.050000
2022-03-03,317.552521,1.111235,9226.758889,6.050000
2022-03-04,319.267415,1.106684,9229.484444,6.050000
2022-03-05,320.982310,1.100274,9232.210000,6.050000
2022-03-06,322.697205,1.093863,9234.935556,6.050000
2022-03-07,309.906311,1.087453,9237.661111,6.050000
2022-03-08,336.054382,1.086531,9240.386667,6.050000
2022-03-09,319.818054,1.089823,9243.112222,6.050000
2022-03-10,319.251678,1.107383,9245.837778,6.050000
2022-03-11,321.470001,1.101394,9248.563333,6.050000
2022-03-12,323.688324,1.098665,9251.288889,6.050000
2022-03-13,325.906647,1.095936,9254.014444,6.050000
2022-03-14,324.726715,1.093207,9256.740000,6.050000
2022-03-15,339.783112,1.094319,9259.465556,6.050000
2022-03-16,340.632660,1.096936,9262.191111,6.050000
2022-03-17,342.379028,1.102196,9264.916667,6.050000
2022-03-18,340.003357,1.109952,9267.642222,6.050000
2022-03-19,337.627686,1.108072,9270.367778,6.050000
2022-03-20,335.252014,1.106193,9273.093333,6.050000
2022-03-21,342.992584,1.104313,9275.818889,6.050000
2022-03-22,337.234375,1.101722,9278.544444,6.050000
2022-03-23,330.296173,1.102974,9281.270000,6.050000
2022-03-24,329.777008,1.100631,9283.995556,6.050000
2022-03-25,331.098551,1.100958,9286.721111,6.050000
2022-03-26,332.420095,1.099573,9289.446667,6.050000
2022-03-27,333.741638,1.098189,9292.172222,6.050000
2022-03-28,348.562042,1.099384,9294.897778,6.050000
2022-03-29,346.107697,1.109152,9297.623333,6.050000
2022-03-30,343.464569,1.116184,9300.348889,6.050000
2022-03-31,347.098877,1.107236,9303.074444,6.050000
2022-04-01,348.152974,1.106400,9305.800000,6.050000
2022-04-02,349.207072,1.105564,9308.760440,6.040769
2022-04-03,350.261169,1.104728,9311.720879,6.031538
2022-04-04,353.517883,1.097586,9314.681319,6.022308
2022-04-05,345.871704,1.090643,9317.641758,6.013077
2022-04-06,346.626892,1.089823,9320.602198,6.003846
2022-04-07,347.240509,1.086484,9323.562637,5.994615
2022-04-08,346.170654,1.087154,9326.523077,5.985385
2022-04-09,345.100800,1.087824,9329.483516,5.976154
2022-04-10,344.030945,1.088495,9332.443956,5.966923
2022-04-11,341.387817,1.087796,9335.404396,5.957692
2022-04-12,339.075134,1.082614,9338.364835,5.948462
2022-04-13,341.199036,1.089657,9341.325275,5.939231
2022-04-14,339.216699,1.082099,9344.285714,5.930000
2022-04-15,337.234363,1.081908,9347.246154,5.920769
2022-04-16,335.252026,1.081717,9350.206593,5.911538
2022-04-17,333.269690,1.081525,9353.167033,5.902308
2022-04-18,331.287354,1.078179,9356.127473,5.893077
2022-04-19,333.836029,1.079447,9359.087912,5.883846
2022-04-20,340.727081,1.084987,9362.048352,5.874615
2022-04-21,333.222473,1.083518,9365.008791,5.865385
2022-04-22,329.729767,1.082713,9367.969231,5.856154
2022-04-23,326.237061,1.081909,9370.929670,5.846923
2022-04-24,322.744354,1.081105,9373.890110,5.837692
2022-04-25,319.251678,1.071421,9376.850549,5.828462
2022-04-26,327.055786,1.064362,9379.810989,5.819231
2022-04-27,332.561768,1.055509,9382.771429,5.810000
2022-04-28,334.093903,1.050420,9385.731868,5.800769
2022-04-29,331.285044,1.051479,9388.692308,5.791538
2022-04-30,328.476186,1.052538,9391.652747,5.782308
2022-05-01,325.667328,1.053596,9394.613187,5.773077
2022-05-02,319.347412,1.050906,9397.573626,5.763846
2022-05-03,315.804413,1.052853,9400.534066,5.754615
2022-05-04,315.229889,1.062248,9403.494505,5.745385
2022-05-05,302.590057,1.053974,9406.454945,5.736154
2022-05-06,298.887482,1.053722,9409.415385,5.726923
2022-05-07,295.184906,1.053471,9412.375824,5.717692
2022-05-08,291.482330,1.053219,9415.336264,5.708462
2022-05-09,295.887115,1.056580,9418.296703,5.699231
2022-05-10,310.106934,1.053297,9421.257143,5.690000
2022-05-11,309.005737,1.051248,9424.217582,5.680769
2022-05-12,318.341980,1.037958,9427.178022,5.671538
2022-05-13,316.857747,1.038660,9430.138462,5.662308
2022-05-14,315.373515,1.039362,9433.098901,5.653077
2022-05-15,313.889282,1.040063,9436.059341,5.643846
2022-05-16,314.320221,1.043896,9439.019780,5.634615
2022-05-17,302.590057,1.054786,9441.980220,5.625385
2022-05-18,295.551971,1.047274,9444.940659,5.616154
2022-05-19,294.738007,1.057899,9447.901099,5.606923
2022-05-20,296.589305,1.057593,9450.861538,5.597692
2022-05-21,298.440603,1.057288,9453.821978,5.588462
2022-05-22,300.291901,1.056982,9456.782418,5.579231
2022-05-23,295.216797,1.068205,9459.742857,5.570000
2022-05-24,294.402893,1.073653,9462.703297,5.560769
2022-05-25,298.711945,1.068661,9465.663736,5.551538
2022-05-26,311.016602,1.073295,9468.624176,5.542308
2022-05-27,313.219004,1.073245,9471.584615,5.533077
2022-05-28,315.421407,1.073196,9474.545055,5.523846
2022-05-29,317.623810,1.073146,9477.505495,5.514615
2022-05-30,314.607452,1.077354,9480.465934,5.505385
2022-05-31,308.287598,1.073411,9483.426374,5.496154
2022-06-01,317.911102,1.065417,9486.386813,5.486923
2022-06-02,313.985046,1.075107,9489.347253,5.477692
2022-06-03,315.644836,1.074273,9492.307692,5.468462
2022-06-04,317.304626,1.073439,9495.268132,5.459231
2022-06-05,318.964417,1.072605,9498.228571,5.450000
2022-06-06,313.458405,1.069141,9501.189011,5.440769
2022-06-07,313.027496,1.069862,9504.149451,5.431538
2022-06-08,308.670593,1.071765,9507.109890,5.422308
2022-06-09,301.393097,1.061921,9510.070330,5.413077
2022-06-10,299.334330,1.057613,9513.030769,5.403846
2022-06-11,297.275564,1.053306,9515.991209,5.394615
2022-06-12,295.216797,1.048999,9518.951648,5.385385
2022-06-13,288.849030,1.041515,9521.912088,5.376154
2022-06-14,294.450775,1.044059,9524.872527,5.366923
2022-06-15,291.530182,1.045620,9527.832967,5.357692
2022-06-16,294.594421,1.054685,9530.793407,5.348462
2022-06-17,294.865723,1.052838,9533.753846,5.339231
2022-06-18,295.137024,1.050990,9536.714286,5.330000
2022-06-19,295.408325,1.049142,9539.674725,5.320769
2022-06-20,302.207062,1.052078,9542.635165,5.311538
2022-06-21,303.499756,1.053264,9545.595604,5.302308
2022-06-22,309.628174,1.056412,9548.556044,5.293077
2022-06-23,322.555267,1.052011,9551.516484,5.283846
2022-06-24,321.821136,1.053545,9554.476923,5.274615
2022-06-25,321.087006,1.055079,9557.437363,5.265385
2022-06-26,320.352875,1.056613,9560.397802,5.256154
2022-06-27,316.905670,1.058089,9563.358242,5.246923
2022-06-28,316.714111,1.052355,9566.318681,5.237692
2022-06-29,315.325653,1.044659,9569.279121,5.228462
2022-06-30,315.421417,1.047768,9572.239560,5.219231
2022-07-01,316.155548,1.046310,9575.200000,5.210000
2022-07-02,316.889679,1.044852,9583.285870,5.210000
2022-07-03,317.623810,1.043395,9591.371739,5.210000
2022-07-04,317.384430,1.043319,9599.457609,5.210000
2022-07-05,332.992706,1.025767,9607.543478,5.210000
2022-07-06,329.306061,1.018641,9615.629348,5.210000
2022-07-07,316.426880,1.016984,9623.715217,5.210000
2022-07-08,316.123637,1.016860,9631.801087,5.210000
2022-07-09,315.820394,1.016736,9639.886957,5.210000
2022-07-10,315.517151,1.016611,9647.972826,5.210000
2022-07-11,324.470398,1.004753,9656.058696,5.210000
2022-07-12,321.741302,1.003311,9664.144565,5.210000
2022-07-13,320.592255,1.003271,9672.230435,5.210000
2022-07-14,325.954620,1.002567,9680.316304,5.210000
2022-07-15,326.529154,1.004922,9688.402174,5.210000
2022-07-16,327.103689,1.007277,9696.488043,5.210000
2022-07-17,327.678223,1.009632,9704.573913,5.210000
2022-07-18,332.466064,1.014518,9712.659783,5.210000
2022-07-19,329.497589,1.023133,9720.745652,5.210000
2022-07-20,332.274536,1.018278,9728.831522,5.210000
2022-07-21,338.594452,1.022108,9736.917391,5.210000
2022-07-22,338.642334,1.021413,9745.003261,5.210000
2022-07-23,338.690216,1.020718,9753.089130,5.210000
2022-07-24,338.738098,1.020023,9761.175000,5.210000
2022-07-25,339.887146,1.022495,9769.260870,5.210000
2022-07-26,340.653198,1.012956,9777.346739,5.210000
2022-07-27,339.647766,1.020929,9785.432609,5.210000
2022-07-28,352.479126,1.019233,9793.518478,5.210000
2022-07-29,352.846191,1.019764,9801.604348,5.210000
2022-07-30,353.213257,1.020294,9809.690217,5.210000
2022-07-31,353.580322,1.020825,9817.776087,5.210000
2022-08-01,348.361572,1.026136,9825.861957,5.210000
2022-08-02,346.063446,1.015569,9833.947826,5.210000
2022-08-03,350.803406,1.015765,9842.033696,5.210000
2022-08-04,342.951355,1.024779,9850.119565,5.210000
2022-08-05,343.861033,1.022215,9858.205435,5.210000
2022-08-06,344.770711,1.019651,9866.291304,5.210000
2022-08-07,345.680389,1.017087,9874.377174,5.210000
2022-08-08,344.052551,1.019763,9882.463043,5.210000
2022-08-09,345.680389,1.020814,9890.548913,5.210000
2022-08-10,345.010132,1.030078,9898.634783,5.210000
2022-08-11,344.674988,1.031672,9906.720652,5.210000
2022-08-12,345.744253,1.029662,9914.806522,5.210000
2022-08-13,346.813517,1.027651,9922.892391,5.210000
2022-08-14,347.882782,1.025641,9930.978261,5.210000
2022-08-15,347.356171,1.016198,9939.064130,5.210000
2022-08-16,349.031891,1.017066,9947.150000,5.210000
2022-08-17,348.361572,1.018019,9955.235870,5.210000
2022-08-18,346.781616,1.008990,9963.321739,5.210000
2022-08-19,346.701813,1.007167,9971.407609,5.210000
2022-08-20,346.622009,1.005345,9979.493478,5.210000
2022-08-21,346.542206,1.003522,9987.579348,5.210000
2022-08-22,339.073242,0.993947,9995.665217,5.210000
2022-08-23,345.345245,0.996691,10003.751087,5.210000
2022-08-24,344.291931,0.996910,10011.836957,5.210000
